TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
2021-02-15;22.6;33.0;26.8;85.0;30.92;1.1;3;150;2;E 
2021-02-16;24.0;33.5;27.6;84.0;26.740000000000002;5.5;5;90;2;N 
2021-02-17;23.0;30.6;27.3;86.0;22.56;5.5;5;280;2;C 
2021-02-18;25.0;27.0;25.9;92.0;18.38;0.5;4;310;2;NW
2021-02-20;23.2;31.6;27.4;81.0;7.1;5.0;3;90;2;NE
2021-02-24;24.4;33.9;27.9;84.0;1.45;0.0;4;90;2;E 
2021-02-27;24.2;33.7;27.0;85.0;11.2;5.2;6;130;2;C 
2021-03-02;24.5;34.8;28.4;78.0;9.25;0.3;5;90;3;E 
2021-03-06;24.6;33.2;28.2;79.0;0.5;4.4;5;60;3;NE
2021-03-11;25.2;32.8;27.0;85.0;44.5;3.2;4;140;1;C 
2021-03-16;24.2;33.6;27.5;81.0;12.950000000000001;7.7;4;300;1;C 
2021-03-19;22.4;34.4;28.0;78.0;5.0;3.2;5;80;3;E 
2021-03-27;24.8;34.0;28.2;81.0;1.6333333333333333;0.0;3;300;2;NW
2021-03-28;24.0;33.3;27.5;85.0;1.2666666666666666;5.6;3;170;1;N 
2021-04-03;21.9;33.1;27.8;85.0;19.65;0.8;4;80;1;C 
2021-04-05;24.6;31.6;27.2;86.0;29.3;4.7;3;290;1;C 
2021-04-13;24.8;34.0;27.1;84.0;2.35;0.4;7;230;3;N 
2021-04-17;25.6;31.6;27.4;83.0;16.0;5.8;4;300;1;C 
2021-04-19;24.0;33.6;28.2;80.0;15.35;2.3;4;290;2;W 
2021-04-20;21.8;34.6;28.7;78.0;13.7;4.9;4;200;2;S 
2021-04-21;25.4;33.4;27.8;84.0;12.05;6.2;5;100;2;SW
2021-04-26;24.8;33.8;27.6;86.0;13.45;2.8;3;220;1;S 
2021-05-02;21.4;33.8;28.6;79.0;3.3666666666666667;1.3;6;60;2;E 
2021-05-03;25.0;33.8;28.6;82.0;3.5333333333333337;8.0;3;50;2;NE
