TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2021-03-30,-,32,"27,1",83,"12,3","4,3",3,280,2,W 
2021-04-03,"21,9","33,1","27,8",85,8888,"0,8",4,80,1,C 
2021-04-05,"24,6","31,6","27,2",86,-,"4,7",3,290,1,C 
2021-04-06,-,"31,6","26,6",82,"54,7","1,2",3,160,2,E 
2021-04-13,"24,8",34,"27,1",84,-,"0,4",7,230,3,N 
2021-04-15,-,"30,4","25,5",88,"8,2","4,1",4,310,2,W 
2021-04-17,"25,6","31,6","27,4",83,8888,"5,8",4,300,1,C 
2021-04-19,24,"33,6","28,2",80,8888,"2,3",4,290,2,W 
2021-04-20,"21,8","34,6","28,7",78,8888,"4,9",4,200,2,S 
2021-04-21,"25,4","33,4","27,8",84,-,"6,2",5,100,2,SW
2021-04-26,"24,8","33,8","27,6",86,8888,"2,8",3,220,1,S 
2021-04-27,-,"33,2","27,9",81,"24,6","4,5",3,170,1,C 
2021-05-02,"21,4","33,8","28,6",79,8888,"1,3",6,60,2,E 
2021-05-03,25,"33,8","28,6",82,8888,8,3,50,2,NE
2021-05-04,-,"31,9",28,83,"3,7","5,1",3,10,2,E 
2021-05-15,"25,2","32,4","28,6",82,-,"2,3",2,310,1,W 
2021-05-16,-,"29,3","27,1",90,8888,"3,1",3,130,1,C 
2021-05-17,"25,6","32,2",28,88,8888,0,4,90,2,E 
2021-05-25,"24,8","31,2",-,-,8888,3,4,350,2,NW
2021-05-31,26,"34,8","28,6",82,-,"5,9",5,180,2,S 
2021-06-01,-,"33,2","28,9",80,-,"4,2",4,200,2,S 
2021-06-02,-,"33,8","28,9",79,-,"6,5",4,230,3,S 
2021-06-06,26,"30,2","27,8",88,-,4,3,280,2,W 
2021-06-09,"24,2","32,5",28,83,-,"7,8",3,150,2,SE
2021-06-15,-,"31,4","27,6",83,8888,"3,5",3,100,2,E 
2021-06-21,"24,4","33,2","28,1",79,3,-,4,270,2,W 
2021-06-25,-,"31,3","27,2",84,"32,6","3,1",4,270,2,W 
2021-06-26,-,"33,2","27,9",80,5,"3,3",3,110,2,SE
2021-06-29,"24,2","31,1",27,84,8888,"2,8",2,40,1,N 
2021-06-30,-,32,28,82,"3,1","2,2",3,170,2,S 
2021-07-05,"24,6","31,3",28,82,8888,"5,7",4,250,2,SW
2021-07-06,"22,4","31,2","27,6",84,8888,"0,4",3,240,1,SW
2021-07-07,"24,4","33,3","28,1",79,8888,0,5,80,2,E 
2021-07-08,-,"29,8","26,3",89,8888,"6,5",4,200,2,C 
2021-07-14,-,"31,2","27,1",86,"1,3","1,4",4,290,2,W 
2021-07-18,-,"34,2","28,6",79,0,"1,8",4,240,2,S 
2021-07-20,-,"33,2","27,3",84,5,"4,6",4,180,2,S 
2021-07-24,-,"33,8","28,9",78,-,"5,6",4,210,3,SW
2021-07-25,"25,4","33,2","28,6",77,-,"7,1",8,160,3,S 
2021-07-31,26,30,"27,6",86,8888,"3,6",3,280,2,W 
2021-08-01,-,"32,8","27,9",79,8888,"0,2",4,220,3,SW
2021-08-05,"24,8","34,2","28,1",80,-,"6,7",5,260,3,SW
2021-08-07,"20,4","33,6","28,3",78,-,"2,2",4,240,2,NE
2021-08-19,"24,6","29,8",27,85,8888,"5,9",4,140,2,SW
2021-08-23,"24,6",29,-,-,"7,7","0,1",2,270,1,SW
2021-08-27,24,"34,2",-,-,8888,"6,1",4,280,3,W 
2021-09-01,25,"30,8","27,5",85,8888,"1,8",3,300,2,W 
2021-09-02,-,33,"27,8",83,8888,"1,4",5,230,2,W 
2021-09-03,-,31,"27,5",82,"11,8","4,9",4,250,2,SW
