TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-04-23,25.2,33.4,28.8,83.0,7.5,2.3,3,250,1,N ,Hujan,1
2020-04-24,25.2,36.2,28.5,83.0,28.5,5.1,3,350,2,N ,Hujan,1
2020-04-25,25.6,33.8,28.4,80.0,49.5,7.5,4,180,2,N ,Hujan,1
2020-04-26,24.6,30.4,27.6,85.0,41.4,5.1,3,260,1,C ,Hujan,1
2020-04-27,24.6,33.4,28.9,79.0,4.8,1.2,4,270,2,W ,Hujan,1
2020-04-28,25.0,31.2,27.5,86.0,6.65,5.5,3,340,2,E ,Hujan,1
2020-04-29,25.6,32.1,27.4,87.0,8.5,2.1,4,170,2,S ,Hujan,1
2020-04-30,24.4,30.2,26.6,91.0,4.0,2.9,4,350,1,C ,Hujan,1
2020-05-01,25.0,32.4,27.3,89.5,18.8,0.6,5,220,2,SW,Hujan,1
2020-05-02,25.2,32.0,28.0,88.0,18.4,5.1,4,240,1,C ,Hujan,1
2020-05-03,24.4,31.4,27.5,82.0,18.0,2.1,3,310,2,NW,Hujan,1
2020-05-04,24.0,33.4,28.8,83.0,9.45,3.3,3,190,1,C ,Hujan,1
2020-05-05,25.2,33.8,28.8,83.0,0.9,1.7,5,210,2,SW,Hujan,1
2020-05-06,25.8,34.4,29.9,81.0,0.6000000000000001,5.8,3,240,1,SW,Hujan,1
2020-05-07,25.8,34.2,29.9,80.0,0.30000000000000004,4.2,3,220,2,SW,Hujan,1
2020-05-08,26.0,35.2,30.4,78.0,0.0,4.6,4,260,2,SW,Cerah,0
2020-05-09,26.4,32.8,28.1,88.0,21.0,6.1,4,270,1,C ,Hujan,1
2020-05-10,24.0,32.4,28.1,80.0,42.0,2.3,3,10,1,NE,Hujan,1
2020-05-11,25.4,35.2,29.2,80.0,21.0,3.6,4,140,2,E ,Hujan,1
2020-05-12,26.1,32.7,29.1,84.0,0.0,7.3,4,340,2,N ,Cerah,0
2020-05-13,25.4,34.4,29.8,76.0,1.4,2.9,4,260,2,C ,Hujan,1
2020-05-14,25.6,32.8,29.3,81.0,1.35,5.4,4,170,2,C ,Hujan,1
2020-05-15,26.0,33.3,29.1,84.0,1.3,4.0,3,100,1,C ,Hujan,1
