TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
09-11-2020;24,2;34;28,9;78;-;2,9;4;270;2;S 
10-11-2020;-;34;28,8;78;-;6,6;3;180;2;W 
11-11-2020;24,6;33,2;28,4;82;-;4;3;360;1;C 
12-11-2020;26;34,4;29,4;76;0;3,7;4;40;2;E 
13-11-2020;25,2;34,4;29,9;76;0;8;5;40;3;NE
14-11-2020;26,2;33;28,9;80;-;6,7;5;90;3;NE
14-11-2020;26,2;33;28,9;80;-;6,7;5;90;3;NE
15-11-2020;-;32,8;28,5;81;1,3;1;3;360;2;N 
16-11-2020;25,4;31,8;28,5;79;-;3,1;4;270;2;W 
17-11-2020;25,6;33,2;28,7;78;0;3,1;3;100;2;E 
18-11-2020;25;34,6;29,3;77;0;4,8;3;90;2;W 
19-11-2020;25,8;31,1;28,7;82;1,5;-;4;180;1;C 
19-11-2020;25,8;31,1;28,7;82;1,5;-;4;180;1;C 
20-11-2020;-;34;28,9;79;3,8;2,1;2;20;1;C 
21-11-2020;24,8;33,2;28,3;84;7,3;3;2;360;1;N 
22-11-2020;25,6;32,2;28,2;82;0,2;4,7;3;90;1;C 
23-11-2020;24,4;32,8;27,5;84;5,5;1,6;3;90;1;C 
24-11-2020;25,1;30,1;26,6;88;27;3,6;3;280;2;W 
25-11-2020;-;33,2;28;86;0,6;1,4;5;320;2;NW
26-11-2020;23,6;32,4;28,3;81;7,3;6,4;3;270;2;W 
26-11-2020;23,6;32,4;28,3;81;7,3;6,4;3;270;2;W 
27-11-2020;23,5;29;26,5;86;17,6;2,7;4;260;2;W 
28-11-2020;22,6;29,3;26,1;92;22,3;0,2;3;280;1;W 
29-11-2020;23,9;33;26,9;90;35;0,1;4;80;2;SW
30-11-2020;-;29,6;26,1;85;15,9;4,4;2;310;0;C 
01-12-2020;23,2;34;28,4;82;8888;0,8;4;300;2;NW
02-12-2020;24;30;26,4;86;14,5;6,8;3;300;1;NW
03-12-2020;23,6;34,6;28;83;8888;0;4;190;2;NW
04-12-2020;25,3;32,5;28,2;82;7;7,4;3;210;2;SW
05-12-2020;25,7;35,8;29,6;78;0;3,1;4;270;2;W 
06-12-2020;25,6;33;29,4;80;8888;7,5;4;310;2;NW
07-12-2020;26,6;32,2;28,8;82;0;1,8;3;110;2;E 
08-12-2020;-;34;28,5;83;2,5;2,2;4;90;2;E 
09-12-2020;26,8;33,6;29,4;78;-;4,7;3;90;1;C 
10-12-2020;24,7;32,6;27,8;82;8,8;3,9;3;130;2;E 
11-12-2020;23,8;32;28,3;83;1,7;4,1;5;280;2;NW
12-12-2020;25,8;32,4;27,1;87;8888;5,2;4;220;1;C 
13-12-2020;23,4;31,6;27,3;83;15,8;3,1;4;140;2;SE
14-12-2020;25,4;33,8;28,7;79;-;3,6;4;310;2;NW
15-12-2020;25;33,6;27,5;85;0;7,1;4;280;2;W 
16-12-2020;24,8;33;28,2;84;8888;4,6;3;300;2;NW
17-12-2020;24;32,8;27,6;85;8;3,9;4;310;2;NW
18-12-2020;23,8;30,2;27,4;86;6;4,3;3;260;1;C 
19-12-2020;24;31,7;27;86;4,6;0,1;4;240;2;C 
20-12-2020;24,2;33,5;29;77;8888;0,8;6;250;3;W 
21-12-2020;24,4;33,6;27,5;82;-;6,1;4;250;2;W 
22-12-2020;24;31,8;26,7;89;9,5;3,9;3;280;1;C 
23-12-2020;24;33,8;27,4;87;7,3;1,4;4;270;2;C 
24-12-2020;25,2;32,1;27,6;85;0,8;3,2;7;320;2;W 
25-12-2020;24,2;28,4;26;89;4,8;1,7;3;310;1;W 
26-12-2020;23;31;26,6;88;1,5;0;3;190;2;W 
27-12-2020;24;33,4;27,2;86;8;0,8;3;300;2;SW
28-12-2020;23;31;27,2;86;2;5,3;3;270;1;C 
29-12-2020;-;31,6;26,2;88;0,5;0,2;6;230;2;C 
30-12-2020;-;33,4;28,2;83;1,6;0,9;5;250;3;W 
31-12-2020;23;32,2;26,6;84;13;5;4;200;2;NW
01-01-2021;23;33,2;26,5;88;1,8;3,3;4;280;2;W 
02-01-2021;23,2;30,8;27,1;88;7;6,4;2;140;1;C 
03-01-2021;24,8;32,7;27,3;84;2;1,2;5;290;2;NW
04-01-2021;24,6;31,8;28,1;84;2,7;5,4;3;300;2;NW
05-01-2021;24,6;31,4;27,4;83;10,5;1,8;4;300;2;W 
06-01-2021;24,3;32,2;27,4;88;5;2,3;4;50;1;C 
